user_id,user_value_segment,preferred_category,strategy,recommended_product_id,recommended_seller_id,recommended_category,recommendation_score,product_avg_price,product_avg_review_score,product_high_intent_rate,seller_avg_review_score,seller_late_delivery_rate,user_avg_model_lead_score,user_high_intent_rate,experiment_group,recommendation_date
842bff27a9fd73c774aeb526d0f53113,Low Value,bed_bath_table,popularity_based,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,0.8569,88.15,3.9444,0.877,3.8415,0.097,99.55,1.0,control,2026-01-01
842bff27a9fd73c774aeb526d0f53113,Low Value,bed_bath_table,category_preference,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,0.8569,88.15,3.9444,0.877,3.8415,0.097,99.55,1.0,treatment_category,2026-01-01
842bff27a9fd73c774aeb526d0f53113,Low Value,bed_bath_table,intent_aware,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,1.0309,88.15,3.9444,0.877,3.8415,0.097,99.55,1.0,treatment_intent,2026-01-01
97e5be9a2f1841bc42b966aa2d014d13,Medium Value,industry_commerce_and_business,popularity_based,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,0.8569,88.15,3.9444,0.877,3.8415,0.097,99.93,1.0,control,2026-01-01
97e5be9a2f1841bc42b966aa2d014d13,Medium Value,industry_commerce_and_business,category_preference,3986c6e32f39114eff1ded07f1cb16fb,744dac408745240a2c2528fb1b6028f3,industry_commerce_and_business,0.2079,748.0,5.0,1.0,4.5542,0.012,99.93,1.0,treatment_category,2026-01-01
97e5be9a2f1841bc42b966aa2d014d13,Medium Value,industry_commerce_and_business,intent_aware,aca2eb7d00ea1a7b8ebd4e68314663af,955fee9216a65b617aa5c0531780ce60,furniture_decor,0.9624,71.35,4.0538,0.9108,4.0944,0.0645,99.93,1.0,treatment_intent,2026-01-01
987f4716cef1294c01c4c0cb7b275ff1,High Value,bed_bath_table,popularity_based,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,0.8569,88.15,3.9444,0.877,3.8415,0.097,99.83,1.0,control,2026-01-01
987f4716cef1294c01c4c0cb7b275ff1,High Value,bed_bath_table,category_preference,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,0.8569,88.15,3.9444,0.877,3.8415,0.097,99.83,1.0,treatment_category,2026-01-01
987f4716cef1294c01c4c0cb7b275ff1,High Value,bed_bath_table,intent_aware,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,1.0809,88.15,3.9444,0.877,3.8415,0.097,99.83,1.0,treatment_intent,2026-01-01
10e1df2717597281c5cffa0e0a7ca7cb,High Value,bed_bath_table,popularity_based,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,bed_bath_table,0.8569,88.15,3.9444,0.877,3.8415,0.097,99.5,1.0,control,2026-01-01
